"Provisional weekly death counts, by selected grouped causes of death c 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20"
"Frequency: Weekly"
"Table: 13-10-0810-01"
"Release date: 2023-05-11"
"Geography: Canada, Province or territory"
""
""

,"Cause of death (ICD-10)  3 4 5 6 13 14 15 16 17 18 19","Intentional self-harm (suicide)"
,"Characteristics 22","Number of deaths"
"Geography, place of occurrence 21","Reference period"
,,"Number"
,"September 29, 2012","5"
,"October 6, 2012","0"
,"October 13, 2012","0"
,"October 20, 2012","0"
,"October 27, 2012","0"
,"November 3, 2012","0"
,"November 10, 2012","0"
,"November 17, 2012","0"
,"November 24, 2012","0"
,"December 1, 2012","0"
,"December 8, 2012","5"
,"December 15, 2012","0"
,"December 22, 2012","0"
,"December 29, 2012","0"
,"January 5, 2013","5"
,"January 12, 2013","0"
,"January 19, 2013","0"
,"January 26, 2013","5"
,"February 2, 2013","0"
,"February 9, 2013","0"
,"February 16, 2013","0"
,"February 23, 2013","0"
,"March 2, 2013","0"
,"March 9, 2013","0"
,"March 16, 2013","0"
,"March 23, 2013","0"
,"March 30, 2013","0"
,"April 6, 2013","0"
,"April 13, 2013","0"
,"April 20, 2013","0"
,"April 27, 2013","0"
,"May 4, 2013","5"
,"May 11, 2013","0"
,"May 18, 2013","0"
,"May 25, 2013","0"
,"June 1, 2013","5"
,"June 8, 2013","0"
,"June 15, 2013","0"
,"June 22, 2013","0"
,"June 29, 2013","0"
,"July 6, 2013","0"
,"July 13, 2013","5"
,"July 20, 2013","0"
,"July 27, 2013","0"
,"August 3, 2013","0"
,"August 10, 2013","5"
,"August 17, 2013","0"
,"August 24, 2013","0"
,"August 31, 2013","5"
,"September 7, 2013","5"
,"September 14, 2013","5"
,"September 21, 2013","0"
,"September 28, 2013","5"
,"October 5, 2013","0"
,"October 12, 2013","5"
,"October 19, 2013","0"
,"October 26, 2013","0"
,"November 2, 2013","5"
,"November 9, 2013","0"
,"November 16, 2013","5"
,"November 23, 2013","0"
,"November 30, 2013","0"
,"December 7, 2013","0"
,"December 14, 2013","0"
,"December 21, 2013","0"
,"December 28, 2013","0"
,"January 4, 2014","0"
,"January 11, 2014","0"
,"January 18, 2014","5"
,"January 25, 2014","0"
,"February 1, 2014","0"
,"February 8, 2014","5"
,"February 15, 2014","5"
,"February 22, 2014","5"
,"March 1, 2014","0"
,"March 8, 2014","0"
,"March 15, 2014","0"
,"March 22, 2014","0"
,"March 29, 2014","5"
,"April 5, 2014","0"
,"April 12, 2014","0"
,"April 19, 2014","0"
,"April 26, 2014","0"
,"May 3, 2014","0"
,"May 10, 2014","0"
,"May 17, 2014","0"
,"May 24, 2014","0"
,"May 31, 2014","5"
,"June 7, 2014","5"
,"June 14, 2014","0"
,"June 21, 2014","0"
,"June 28, 2014","0"
,"July 5, 2014","0"
,"July 12, 2014","5"
,"July 19, 2014","5"
,"July 26, 2014","5"
,"August 2, 2014","5"
,"August 9, 2014","5"
,"August 16, 2014","0"
,"August 23, 2014","0"
,"August 30, 2014","0"
,"September 6, 2014","0"
,"September 13, 2014","5"
,"September 20, 2014","0"
,"September 27, 2014","0"
,"October 4, 2014","0"
,"October 11, 2014","0"
,"October 18, 2014","0"
,"October 25, 2014","0"
,"November 1, 2014","5"
,"November 8, 2014","5"
,"November 15, 2014","5"
,"November 22, 2014","0"
,"November 29, 2014","0"
,"December 6, 2014","0"
,"December 13, 2014","0"
,"December 20, 2014","0"
,"December 27, 2014","0"
,"January 3, 2015","5"
,"January 10, 2015","0"
,"January 17, 2015","0"
,"January 24, 2015","0"
,"January 31, 2015","0"
,"February 7, 2015","0"
,"February 14, 2015","0"
